Job Title,Company Name,Location,Full-time / Part-time,Sector or Industry,Number of Applicants,Job Description
New Grad - Associate Project Manager,VMware,"Cairo, Cairo, Egypt",Full-time,null,Over 200 applicants,"About the job
The Elevator Pitch: Why will you enjoy this new opportunity?

The most advanced companies in the world turn to VMware to manage, grow, and transform their business. When you work here, you’re connected to a global community of innovative, empowered employees working together to solve the most critical technology challenges. The World Wide Consulting Centers (WWCC) aims at providing a centralized world class professional services delivery through the a global BU with co-located sites that drives adoption and improved margin at scale.

As an Associate Project Manager, you have the opportunity to join our growing project delivery practice, focusing on GMC activities. Become a member of our collaborative and supportive work environment and help us drive innovation!











The hiring manager for this role is one of our Senior Managers within the WWCC. His expertise has been shaped by 12 years in the IT industry in Delivery roles both technical and project management based then for the last 7 years straight in regional delivery management across Europe.

Mohamed’s management style is based on enablement and empowerment. As part of his team, you will be sharing both the success of the group as well as the responsibilities thus maximizing your contribution to the progress of the BU and allowing you to grow and sharpen your skills profile.

The team is made of project managers and technical consultants, all operating on the frontline with our customer, sales teams and technical staff within VMware in Europe, the Middle East and Americas. The team works flexible hours without alignment to a certain region or Geo and every individual is expecting to rotate between the mentioned Geos iteratively.



This role is based out of VMware’s Cairo (Egypt) office and is open to candidates in the surrounding Egypt.



You and your loved ones will be supported with a competitive and comprehensive benefits package. Below are some highlights, or you can view the complete benefits package by visiting www.benefits.vmware.com.



Business Strategy and Operations

Project Management

New Graduate

Full Time

2022-02-14

VMware Company Overview: At VMware, we believe that software has the power to unlock new opportunities for people and our planet. We look beyond the barriers of compromise to engineer new ways to make technologies work together seamlessly. Our cloud, mobility, and security software form a flexible, consistent digital foundation for securely delivering the apps, services and experiences that are transforming business innovation around the globe. At the core of what we do are our people who deeply value execution, passion, integrity, customers, and community. Shape what’s possible today at http://careers.vmware.com.

Equal Employment Opportunity Statement: VMware is an Equal Opportunity Employer and Prohibits Discrimination and Harassment of Any Kind: VMware is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at VMware are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. VMware will not tolerate discrimination or harassment based on any of these characteristics. VMware encourages applicants of all ages. Vmware will provide reasonable accommodation to employees who have protected disabilities consistent with local law."
Franchise Sales Consultant,RE/MAX Egypt,"Qesm Heliopolis, Cairo, Egypt",Full-time,null,9 applicants,"About the job
RE/MAX Egypt is looking for an enthusiastic team player to join as a Franchise Sales Consultant.

Job Description:

1. Research and identify key franchise prospects based on perceived profitability, reputation, candidates business backgrounds and competencies
2. Establish and maintain franchise prospects via telephone contact, mail and follow-up program.
3. Create and maintain a prospect database, track and report on sales activities and results.
4. Complete and Negotiate: deal points, Disclosure Document and Franchise Agreement and successfully handle the prospect’s objections.
5. Close: the sale. After sale, effectively transition the new Broker/Owner to Business Development Team while maintaining the relationship after the sale.

If you're interested please send your CV to sherihan.youssef@remax.com.eg with the following subject: Franchise Sales"
Community Manager PUBG Mobile (Egypt),Tencent,"Cairo, Cairo, Egypt",Full-time · Associate,null,5 applicants,"About the job
Responsibilities:
Develop a tailored user support strategy for the MENA market
Cooperate with customer support and core users to collect and react to players' feedback in a timely manner
Design and organize online and offline community events for players

Requirements:e"
Specialist - Professional Development & Staffing,McKinsey & Company,"Cairo, Cairo, Egypt",Full-time · Associate,null,153 applicants,"About the job
Qualifications
3 years of administrative experience ideally in a professional services environment
Interest and excitement for digital tools and fluent user of standard business systems (Excel, PowerPoint, etc.)



You will manage end to end ownership of projects with integrated staffing and professional development for our People Operations team.

In this role, you will deliver the right talent to our clients while working with leadership to develop an understanding of client needs. You will provide coaching and guidance to client service colleagues on their staffing and professional development through understanding their experience, aspirations, and circumstances – while always aiming at balancing between client, team, and individual needs. You will coordinate with other departments to ensure smooth mobilization and deployment of teams.

You will maintain accurate and up-to-date information in all people information systems and develop these systems so that they are reliable and efficient. You will lead analysis and reporting of key staffing and professional development metrics for local office leadership. You will develop a network of Staffers / Professional development managers within the firm to facilitate inbound / outbound staffing assignments and ensure flow and implementation of best practices.

Additionally, you will develop an understanding of client service professional aspirations, strengths and development needs or relevant personal circumstances. You will monitor consultants’ development and satisfaction to provide counsel on specific assignments and general skill development and guide client service people on development path, work-life questions and other matters.



You will be based in our Cairo office as part of our Middle East office professional development team. You will work closely with the Middle East office leadership group and will be responsible for managing a full range of professional development and staffing activities daily."
Deployment Team Leader - Menia Plant,PepsiCo,"Qesm El Omrania, Al Jizah, Egypt",Full-time · Mid-Senior level,null,18 applicants,"About the job
Auto req ID: 268667BR

Job Description

Role:

Support the supervisor in the on-ground execution of deployment plan through handling the COLT & Carrier and the financials in his assigned shift

Accountabilities:





Not Applicable

Regular"
Content Editor,dentsu international,"Cairo, Cairo, Egypt",Full-time · Associate,null,101 applicants,"About the job
The purpose of this role is to be responsible for all aspects of content, which includes development, design, production, presentation, evaluation and analysis

Job Title

Content Editor





Cairo



Digital Republic Linked By Isobar



Full time



Permanent"
Marketing Manager - PUBG Mobile (Egypt),Tencent,"Cairo, Egypt",Full-time · Associate,null,191 applicants,"About the job
About Tencent
Tencent is an Internet-based platform company founded in Shenzhen, China, in 1998. We use technology to enrich the lives of Internet users and assist the digital upgrade of enterprises. Our mission is ""Value for Users, Tech for Good"". We embrace a culture of teamwork & creativity and are driven by our values - Integrity, Proactivity, Collaboration and Creativity."
Customer Service/Technical Support-English,Concentrix,"Cairo, Cairo, Egypt",Full-time · Entry level,null,Over 200 applicants,"About the job
As a Customer Service Advisor within our friendly and supportive team, you will be responsible for:
handling incoming inquiries from English customers via the phone, email and on online,
providing support for customers to effectively resolve their queries,





We know that customer service isn’t for everyone. To be considered for this role, we’ll need you to have the following:

This is a great opportunity for someone looking to join a vibrant, growing, global business where you will have the opportunity to take advantage of excellent learning, development and career opportunities as well as become part of a highly professional and fantastic team.

Do not miss this great job opportunity! Apply now:

40 hours/week on a rotational shift pattern.



With 250,000 colleagues all over the worldwe specialize in creating exceptional customer experiences and driving digital transformation for some of the world’s biggest and best companies.

We’re extremely passionate about the power of exceptional customer experiences, because we know, when someone has an amazing customer experience, it can be life changing!

We’re fanatical about our diverse and passionate people all across the world people. We see and love each of their individualities, because recognize that all our differences make us stronger together. That’s why we show them how important they are by showering them with perks, like a culture of belonging; clear paths for career development; professional support, coaching and mentorship programs; performance-based pay; a global network of lifelong friends and peers; and more! (Like, lots more.) Be true. Be you. Be with us... and together we will make new memories!



The above statements are intended to describe the general nature and level of work being performed by people assigned to this job. They are not intended to be an exhaustive list of all responsibilities, duties, and skills required of personnel working within this job title.

Concentrix is an equal opportunity employer. Concentrix evaluates qualified applicants without regard to race, color, religion, gender, national origin, age, sexual orientation, gender identity or expression, protected veteran status, disability status or any other legally protected characteristic."
Package Consultant: SAP IS Oil & Gas,IBM,"Cairo, Cairo, Egypt",Full-time,null,37 applicants,"About the job
528194BR

Introduction

As a Package Consultant at IBM, get ready to tackle numerous mission-critical company directives. Our team takes on the challenge of designing, developing and re-engineering highly complex application components and integrating software packages using various tools. You will use a mix of consultative skills, business knowledge, and technical expertise to effectively integrate packaged technology into our clients' business environment and achieve business results.













Environment:

Professional knowledge related to incumbent's department or function.



Engaged as an independent professional. Ability to articulate and compare alternatives approaches. Negotiate with specified objectives.



Recognize problems related to project objectives. Creativity and judgment applied to professional technical, or operational problems. Independently generates solutions, based on analytical skills & business knowledge.



Works on special projects, or leads small teams, or manages routine technical/ operational activities or departments (national or international). Understands departmental mission and vision.



None



IBM Services is a team of business, strategy and technology consultants that design, build, and run foundational systems and services that is the backbone of the world's economy. IBM Services partners with the world's leading companies in over 170 countries to build smarter businesses by reimagining and reinventing through technology, with its outcome-focused methodologies, industry-leading portfolio and world class research and operations expertise leading to results-driven innovation and enduring excellence.



Are you craving to learn more? Prepared to solve some of the world's most unique challenges? And ready to shape the future for millions of people? If so, then it's time to join us, express your individuality, unleash your curiosity and discover new possibilities.

Every IBMer, and potential ones like yourself, has a voice, carves their own path, and uses their expertise to help co-create and add to our story. Together, we have the power to make meaningful change – to alter the fabric of our clients, of society and IBM itself, to create a truly positive impact and make the world work better for everyone.

It's time to define your career.



IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.



IBM wants you to bring your whole self to work and for you this might mean the ability to work flexibly. If you are interested in a flexible working pattern, please talk to our recruitment team to find out if this is possible in the current working environment.



IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
"French Loan Account Onboarding Processor, GSC",HSBC,"Cairo, Cairo, Egypt",Full-time,null,2 applicants,"About the job
Job Description

Some careers have more impact than others.

If you’re looking for a career where you can make a real impression, join HSBC and discover how valued you’ll be.

HSBC is one of the largest banking and financial services organisations in the world, with operations in 64 countries and territories. We aim to be where the growth is, enabling businesses to thrive and economies to prosper, and, ultimately, helping people to fulfil their hopes and realise their ambitions.

We are currently seeking an experienced professional to join our team in the role of loan processor.










HSBC is an equal opportunity employer committed to building a culture where all employees are valued, respected and opinions count. We take pride in providing a workplace that fosters continuous professional development, flexible working and, opportunities to grow within an inclusive and diverse environment. We encourage applications from all suitably qualified persons irrespective of, but not limited to, their gender or genetic information, sexual orientation, ethnicity, religion, social status, medical care leave requirements, political affiliation, people with disabilities, color, national origin, veteran status, etc., We consider all applications based on merit and suitability to the role.”

Personal data held by the Bank relating to employment applications will be used in accordance with our Privacy Statement, which is available on our website."
Travel Advisor,Teleperformance,"Cairo, Cairo, Egypt",Full-time · Entry level,null,6 applicants,"About the job
Teleperformance Egypt objective is to prepare employees to become leaders: from agents to supervisors, from supervisors to coordinators, and, finally, from coordinators to managers. The JUMP! program is based on a training program that offers technical and behavioral training, as well as personal development plans.



Planning and selling transportations, accommodations, insurance and other travel services. Cooperating with clients to determine their needs and advising them appropriate destination, modes of transportations, travel dates, costs and accommodations.



Graduated from any major

Fluent/Excellent English Speakers

Flexible with rotational shifts

Tourism Experience is a Plus



Net salary 4k up to 6k free of fees and tax +Bonus

Annual profit share up to 2x your salary

Medical & Social insurance 150k

Overnight allowance up to 1000 EGP Transportation 24/7 all over Cairo& Giza (plaza, citywalk) door to door transportation after 11 P.M

Discounts& offers all over many stores in Egypt

Gym Access

VPN Line

Career Path

Free Development& learning courses

Events and fun festival

Refer a friend program rewards up to 2000 EGP

Teleperformance is a Great Place to Work®-Certified in 60 countries. Great Place to Work® is a third-party organization that has captured valuable feedback from more than 200,000 of our employees around the world, using a unique research-driven Trust Index©"
Field Technical Spt Cons,DXC Technology,"Giza, Al Jizah, Egypt",Full-time · Entry level,null,4 applicants,"About the job
Within the family there is a range of technical and managerial customer on-site functions. The family of jobs is focused on managing the onsite delivering of software services, pre-sales, post-sales or service delivery support, installation and configuration for customer environments. The jobs solve various business systems, networking and applications problems for standard industry servers, specialized or complex clustered environments. Deliver reactive and proactive activities according to Service Level Agreement to ensure customer satisfaction and loyalty. Provides direct post-sales systems on site technical support for reactive and proactive customers. Each position maintains a high level of customer satisfaction by ensuring clear business and technical solution alignment, clarifying customer needs and ensuring that they are met. Jobs are responsible for company Total Customer Experience as well as the revenue growth, profitability, and account retention."
MEL Advisor,Pathfinder International,"Cairo, Cairo, Egypt",Full-time · Associate,null,16 applicants,"About the job
Project Description:

The WESE program is designed to engage, leverage, and partner with the private sector as well as public social service initiatives to encourage women’s participation in the workforce; generate demand for financial services; promote tailored, market-based solutions to women’s economic empowerment; and strengthen GBV prevention and response such that women become more economically and socially resilient.

WESE activities that aim to to effect results along critical change pathways. The program interventions are designed to lead women in priority governorates feeling safe, valued, and empowered at work; motivated and able to embrace financial autonomy; and respected and free from violence in their homes, communities, and workplaces.

The program works closely with to develop, lead, scale, sustain, and champion innovative solutions, recognizing the economic AND social benefits of gender-inclusive, empowering policies and practices.



Support MEL Director to oversee all MEL functions and the strategic direction of the WESE Activity. Provides technical assistance to the MEL team to ensure the development of a robust MEL system. In parallel, ensures strong collaboration between representatives of the MEL team and technical staff / experts to ensure that data informs decision making and adaptation of activity approaches. The MEL Advisor will ensure MEL activities are compatible with global best practices and Pathfinder standards, serve the Activity’s commitments to USAID, adhere to GOE policies, and are tailored to key decisions to expand and improve the effectiveness of Pathfinder programing. S/He will take the lead in the determination, definition, and means of collection for indicators and key project data and helping shape the evaluation approach. S/He will play a key role in developing the MEL approach, including the protocol, overseeing the development of the instruments, consent forms, etc., analyzing and synthesizing findings.






Bachelor's degree (or equivalent) in demography, epidemiology, statistics, social sciences or a related field, or a combination of education and experience that yields the required competencies. A master’s degree is preferred.







The MEL Advisor is a full-time position that reports to the MEL Director who will coordinate with the MEL Advisor, on all programmatic aspects of his/her employment, including but not limited to job description, duties, qualifications, working environment, and performance. The MEL Advisor will be based in Cairo, Egypt



This position will interact with the WESE project team, WESE partners, GOE counterparts, stakeholders. Required to travel to various locations within Egypt, specifically WESE defined governorates.




By submitting an application, the job applicant acknowledges they understand our intent to verify suitability to work with us."
Community Management (MENA),Garena,Egypt,Full-time · Associate,null,173 applicants,"About the job
What you'll be doing:

Identify, discuss, create, and publish content on high quality/viral gaming content on community platforms
Closely work and collaborate with cross-functional and cross-project teams to deliver and promote the gaming content updates, news, tips, and tricks"
Associate Sales Representative (French Speaker) - Bachelor/Master (Graduate) - Egypt,Cisco,"Cairo, Cairo, Egypt",Full-time,null,101 applicants,"About the job
Training Location Amsterdam, Netherlands

Post-training locationCairo, Egypt

Start date31st July 2022



Cisco Sales Associates Program offers a global environment that provides structured training and on-the-job-experience. We will develop your sales, technical and communication skills and you will be offered the opportunity to rotate and understand diverse areas of Sales via our model of Education Exposure Experience. You will learn how to position Cisco’s architectures, solutions and products to our customers.

Your career will continue as a Virtual Account Manager (VAM) role as part of Cisco’s Global Virtual Sales (GVS) Team. The GVS organization is passionate about driving sales productivity breakthrough and building compelling business value for our partners while nurturing our partner relationships. As a VAM, you’ll build positive relationships with existing customers and partners, working closely with them to understand their business strategy and uncover new business opportunities, whilst achieving their desired business outcomes. You’ll partner with Sales Engineers and together you’ll position the benefits of our Cisco solutions to your customer, using our market-leading collaboration tools.

From there, your career can develop and grow into a variety of sales opportunities at Cisco.

While challenging, it will push you to become the best version of yourself. You will achieve industry-standard certifications, as part our perpetual learning approach, and be assessed and coached through customer simulations and on-the-job activities. We’ll offer you a safe and fun environment to practice what you’ve learnt, all the while providing you with feedback to develop your potential.







You’ll be part of our Cisco Sales Associates Program (CSAP), an award-winning and industry recognized early-in-career development program for top university graduates from around the world. You’ll train alongside incredibly talented individuals, like yourself, from different countries and diverse backgrounds. Early on, you’ll make long-lasting friendships and belong to a rich human network that will support you throughout your career.

As a successful Associate Sales Representative (ASR), you’ll learn to discover, build and drive new opportunities to our customers, with our Cisco partners, while collaborating with Cisco engineers to provide technical solutions that drive business outcomes for our customers.

You’ll learn from experts and coaches in an unrivalled setting using our own leading-edge technology. You’ll have your own mentor, a CSAP alumnus who’s been in your shoes and will help guide you in your first year. With a strong Cisco team committed to your success, you’ll gain hands-on education and experience, while receiving an attractive salary and pursuing your career dreams!











#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference powering an inclusive future for all.

We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (36 years strong) and only about hardware, but we’re also a software company. And a security company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box!

But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)

Day to day, we focus on the give and take. We give our best, give our egos a break, and give of ourselves (because giving back is built into our DNA.) We take accountability, bold steps, and take difference to heart. Because without diversity of thought and a dedication to equality for all, there is no moving forward.

So, you have colourful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. Passion for technology and world changing? Be you, with us!

Cisco are always looking to identify talented people. If you are reading this posting then we may not have an open job right now, however it is highly likely we will in the future. If you are interested in working for Cisco in this capacity then please submit your details and CV or resume against this requisition so that when a suitable vacancy arises a Cisco representative can contact you directly.

Please note that vacancies will be filled on a rolling basis after opening and we will close applications as offers are accepted; possibly before the stated deadline. Therefore, we highly recommend you submit your application as early as possible in order to be considered for the opportunity of your choice"
Content Manager,dentsu international,"Cairo, Cairo, Egypt",Full-time · Associate,null,34 applicants,"About the job
Job Title

Content Manager

Job Description



Cairo



Digital Republic Linked By Isobar



Full time



Permanent"
Account Manager,Envision Employment Solutions,"Giza, Al Jizah, Egypt",Part-time · Entry level,null,23 applicants,"About the job
Ready and hungry for a new adventure? You are definitely in the right place! We at Envision Employment Solutions are always on the look for top talents around the globe and matching them with our partners' hiring needs, to help them build and scale!

Our partners offer awesome work environment, competitive salaries, full benefits, and many others.

Our Hiring Process:


_________________________________________________________________________________________________

Envision Employment Solutions is currently on the look for Account Managers for one of our partners, an Ad Tech Company.

Responsibilities:


Requirements:


Perks and Benefits:


Envision Employment Solutions is proud to be an equal opportunity workplace dedicated to pursuing and hiring a diverse workforce. Come join us!"
Adjunct Faculty - Public Policy and Administration (MPP),The American University in Cairo,"Cairo, Cairo, Egypt",Full-time · Associate,null,10 applicants,"About the job
Ref. No.: Adjunct PPAD_MPP (Sp 22)

To apply, please visit: http://www.aucegypt.edu/about/jobs

Copyright ©2021 Jobelephant.com Inc. All rights reserved.

Posted by the FREE value-added recruitment advertising agency

jeid-8c80190e929a5b409e96a7c6657aed7d"
TIP: DevOps Engineer,Upwork,Egypt,Contract · Associate,null,33 applicants,"About the job
Upwork ($UPWK) is the leading tech solution for companies looking to hire the best talent, maintain flexibility, and get more done. We’re passionate about our mission to create economic opportunities so people have better lives. Every year, more than $2 billion of work is done through Upwork by skilled professionals who want the freedom of working anytime, anywhere. Top companies connecting with extraordinary talent around the globe? Upwork is how.

This is a Contract position through Upwork’s Talent Innovation Program (TIP). Our TIP team is a global group of professionals that augment Upwork’s business. Our TIP team members are located all over the world.

Upwork's Data Science Infrastructure team is looking for an experienced remote team colleague who is interested in a long-term involvement and full-time commitment.

You will join a team of ~50 data, machine learning and search scientists/engineers and you will be working on projects that will shape the future of work and have a global impact on the world's largest online labor marketplace.

The candidate will work in a DevOps role over data engineering projects coded on databricks.





Upwork is proudly committed to fostering a diverse and inclusive workforce. We never discriminate based on race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical condition), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics."
Senior Manager Talent Acquisition for CNX Academy,Concentrix,Egypt,Full-time · Mid-Senior level,null,62 applicants,"About the job
Essential Functions/Core Responsibilities
Manage the training team(s) on issues and assignments, listen to needs and concerns of team members, resolve issues, and be responsible for the coordination of backlog/live support schedules to facilitate a smooth transition to the product"
2D Animator Moho,TheSoul Publishing,Egypt,Full-time · Mid-Senior level,null,41 applicants,"About the job
Hello, there!

TheSoul Publishing is one of the largest web publishers in the world. Our purpose is to give joy and good mood to our viewers who are now more than 1 billion (yep!) all over the planet. You’ve probably seen our projects on YouTube, Facebook, and Instagram: AdMe, 5-Minute Crafts, Bright Side, Teen-Z (and 40+ other projects). Yes, they’re created by our team of 3000+ people across 70+ countries. And we invite you to create them with us."
Talent Sourcer,Swvl,"Cairo, Egypt",Full-time · Mid-Senior level,null,189 applicants,"About the job
Designation: Talent Sourcing Specialist
Job location: Cairo , Egypt
Experience: 4-5 years of relevant work experience

About us"
Customer Support Representative (Tanzu Support),VMware,"Cairo, Cairo, Egypt",Full-time,null,172 applicants,"About the job
Why will you enjoy this new opportunity?

As a part of the CSR Team, you will be focused on improving customer experience. You will be part of an ever-expanding and experienced team in Tanzu Support. If you are customer focused, open to challenges and continues learning and development, this is the place to be! If you are able to adjust quickly to solve different tasks and manage competing demands, this role is for you!







As part of the CSR team in Tanzu Support, you will:





The hiring manager for this role is Iwona Nawrocka, Global Lead for Tanzu Customer Support, based in Cork, Ireland. Iwona has been with VMware for almost 11 years now and has experience in leading diverse support and program teams.

Iwona is passionate about people and team development and culture, using coaching approach and encouraging open communication.

The CSR team is a global team with team members based in China, US, Costa Rica, Egypt, France, and Ireland. The team supports local hours with weekend rotation. As majority of the Customers speaks English, fluency in English is required.

The team culture is focused on trust, supporting each other, and constantly improving customer support experience.



Flexible: The role is considered flexible and will be a mix of working from a local VMware office and remote depending on your preferences and the arrangements determined with your future manager. You will be expected to live within a reasonable non-daily commute of the office.



You and your loved ones will be supported with a competitive and comprehensive benefits package. Below are some highlights, or you can view the complete benefits package by visiting www.benefits.vmware.com.



Client Support

Customer Support

Entry Level

Full Time

2022-01-13

VMware Company Overview: At VMware, we believe that software has the power to unlock new opportunities for people and our planet. We look beyond the barriers of compromise to engineer new ways to make technologies work together seamlessly. Our cloud, mobility, and security software form a flexible, consistent digital foundation for securely delivering the apps, services and experiences that are transforming business innovation around the globe. At the core of what we do are our people who deeply value execution, passion, integrity, customers, and community. Shape what’s possible today at http://careers.vmware.com.

Equal Employment Opportunity Statement: VMware is an Equal Opportunity Employer and Prohibits Discrimination and Harassment of Any Kind: VMware is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at VMware are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. VMware will not tolerate discrimination or harassment based on any of these characteristics. VMware encourages applicants of all ages. Vmware will provide reasonable accommodation to employees who have protected disabilities consistent with local law."
"ETIC, SAP Source to Pay (STP) Solutions Specialist - Manager (Egypt)",PwC Middle East,"Cairo, Cairo, Egypt",Full-time · Mid-Senior level,null,17 applicants,"About the job
Line of Service

Advisory

Industry/Sector

Technology



Advisory - Other



Manager





PwC is opening a new Technology & Innovation Center in Cairo that will deliver high quality technology solutions to consulting Clients across the globe. The Centre will provide a broad suite of skills and services to our clients, ranging from Packaged Applications such as SAP & Oracle, to Cloud services utilising AWS, Azure and Google, as well as expanding our existing Managed Services capabilities.

The center is looking to expand rapidly and we are looking for enthusiastic self-starters with a passion for technology and client delivery to help shape and form this new venture.

We are seeking to recruit a SAP STP Specialist to join our team in Cairo. The successful candidate will have a minimum of 6 years experience in delivering complex SAP STP solutions, utilising products / modules such as SAP Ariba and SAP S/4HANA Materials Management. They will be building a growing reputation within the local SAP market; and will bring a developing professional network, and good alliances into the SAP ecosystem.

You will report to the SAP delivery service leadership team and will be an integral part of the team based in Cairo, as well as those delivering client transformation programmes across the PwC Global Network, including the UK, Germany and Middle East.

As an SAP Solutions Specialist, you will play a key role in the following areas:











Degrees/Field of Study preferred:











Not Specified



Yes



No"
DB & Customer Support Lead Egypt - Sales Analyst - Cairo Business Hub,PepsiCo,"Qesm 2nd New Cairo, Cairo, Egypt",Full-time · Mid-Senior level,null,66 applicants,"About the job
Auto req ID: 269855BR

Job Description
Provide support to Customer Account Specialists, enabling achievement of critical customer initiatives and KPIs including: on time delivery, fill rate, returns/deductions, supporting major retailers. Review and validate customer claims and deductions








Not Applicable

Regular"
